cluster,fleet_size,n_models,diversity,modernity_index,new_gen_share,pct_a220,pct_787,pct_a350,pct_a330neo,pct_neo,pct_max,pct_newgen_narrow,pct_newgen_wide
0,30.081536033666495,5.111520252498684,0.5304734647596002,0.002803644454497641,0.052081966428195625,0.0007645417117306672,0.0010988126117832658,0.0006404512709100457,5.930541820094772e-07,0.0024263144466070445,0.001696127184113623,0.004886983341399265,0.0017398569363492912
1,1.5,1.0,0.75,0.30000000000000004,1.0,0.0,0.7500000000000001,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.7499999999999999
2,1.0,1.0,1.0,0.6,1.0,1.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,1.0,0.0
