airline,cluster,pc1,pc2
AIR FLAMENCO,0,-0.423283905,0.037600663
AIR FRANCE,0,0.929912468,0.975375506
AIR GREENLAND,0,-0.233434986,0.124092229
AIR GUILIN,0,-0.381889659,0.001210336
AIR HORIZONT,0,-0.434178772,-0.063601563
AIR INCHEON,0,-0.469798607,-0.089562216
AIR INDIA,0,2.142437071,1.200667922
AIR INDIA EXPRESS,0,1.590727328,0.075632936
AIR INUIT,0,-0.32149216,0.211208409
AIR JAPAN,1,17.66648059,18.08408125
AIR KEY WEST,0,-0.440966721,-0.107145667
AIR KIRIBATI,0,-0.46533568,-0.101554068
AIR KORYO,0,-0.450141405,-0.030691357
AIR LIAISON,0,-0.36395974,0.042408854
AIR LIBYA,0,-0.420997508,-0.029750298
AIR LOYAUTE,0,-0.378652905,-0.031240656
AIR MACAU,0,2.058243438,-0.913756148
AIR MANAS,2,41.68759113,-26.40997662
AIR MAURITIUS,0,3.447863686,3.441044004
AIR MEDITERRANEAN,0,-0.405617585,-0.082353306
AIR METHODS,0,-0.357934183,0.14034963
AIR MOANA,0,-0.366739125,-0.035204747
AIR MONTENEGRO,0,-0.440966721,-0.107145667
AIR MOUNTAIN,0,-0.405617585,-0.082353306
AIR NEW ZEALAND,0,0.977356199,0.506366903
AIR NIUGINI,0,-0.335472214,0.172176319
AIR NORTH,0,-0.434912759,0.005598255
AIR NUNAVUT,0,-0.363994209,0.06052072
AIR OCEAN MAROC,0,-0.469798607,-0.089562216
AIR PANAMA,0,-0.378652905,-0.031240656
AIR PEACE,0,0.102188067,0.253935432
AIR PREMIA,0,5.859736896,4.84298905
AIR RAROTONGA,0,-0.434178772,-0.063601563
AIR SAFARIS,0,-0.469798607,-0.089562216
AIR SAINT-PIERRE,0,-0.521711566,-0.221462398
AIR SAMARKAND,0,11.74634414,-8.381713832
AIR SENEGAL,0,4.776789923,-2.838290069
AIR SEOUL,0,-0.362939101,-0.011680257
AIR SEYCHELLES,0,5.219276645,-3.460735313
AIR SPRAY,0,-0.319780971,0.353394299
AIR SUNSHINE,0,-0.369061717,-0.000819126
AIR TAHITI,0,-0.322707143,0.041309762
AIR TAHITI NUI,0,9.79477673,9.254349865
AIR TANZANIA,0,7.042054235,-0.650741185
AIR TAXI & CHARTER INTERNATIONAL,0,-0.521711566,-0.221462398
AIR TETIAROA,0,-0.472055377,-0.07494292
AIR THANLWIN,0,-0.402088261,-0.059997108
AIR TINDI,0,-0.441950936,-0.055550876
AIR TRANSAT,0,0.686019709,0.298878225
AIR TRANSPORT EUROPE,0,-0.371323557,0.014640032
AIR TRANSPORT INTERNATIONAL,0,-0.43185375,-0.008065607
AIR TRAVEL,0,2.793505229,-1.338326403
AIR TXT,0,-0.521711566,-0.221462398
AIR URGA,0,-0.402088261,-0.059997108
AIR VANUATU,0,-0.515194317,-0.179086586
AIR VOLTA,0,-0.402088261,-0.059997108
AIR WISCONSIN,0,-0.366739125,-0.035204747
AIR ZIMBABWE,0,-0.511935692,-0.15789868
AIR-GLACIERS,0,-0.333474943,0.120942137
AIR-TAXI EUROPE,0,-0.347164546,-0.011046322
AIR1AIR,0,-0.518452942,-0.200274492
AIR65 AVIATION,0,-0.521711566,-0.221462398
AIRACT,0,-0.405617585,-0.082353306
AIRASIA,0,0.469732746,0.349348458
AIRASIA X,0,-0.292834075,0.07142295
AIRBLUE,0,0.029607631,0.099065546
AIRBORNE IMAGING,0,-0.347164546,-0.011046322
AIRBUS,0,3.215684206,4.320096053
AIRBUS TRANSPORT INTERNATIONAL,0,-0.326487639,0.035961446
AIRCALIN,0,6.838102504,-3.956775636
AIRCHARTERS WORLDWIDE,0,-0.518452942,-0.200274492
AIRCRAFT MANAGEMENT GROUP,0,-0.376449388,0.062148227
AIREST,0,-0.362939101,-0.011680257
AIREXPLORE,0,-0.472933298,-0.058681471
AIRFAST INDONESIA,0,3.457174797,-2.40230881
AIRGO PRIVATE AIRLINE,0,-0.440966721,-0.107145667
AIRHUB AIRLINES,0,-0.521711566,-0.221462398
AIRJET,0,-0.518452942,-0.200274492
AIRKENYA EXPRESS,0,-0.46533568,-0.101554068
AIRLEC AIR ESPACE,0,-0.446965403,-0.044215885
AIRLIFT,0,-0.351146826,0.022208578
AIRLINK,0,-0.261639738,0.556086735
AIRMASTER,0,-0.518452942,-0.200274492
AIRNET,0,-0.313692845,0.07527374
AIRNORTH,0,-0.349128698,0.043610902
AIRONE,0,-0.521711566,-0.221462398
AIRPAC AIRLINES,0,-0.369061717,-0.000819126
AIRQUEST AVIATION,0,-0.518452942,-0.200274492
AIRSERBIA,0,-0.315472664,0.130150499
AIRSF FLIGHT SERVICES,0,-0.359139077,0.011844233
AIRSHARE,0,-0.284014,0.597365185
AIRSIAL,0,-0.381742054,-0.01676679
AIRSMART,0,-0.395029612,-0.015284712
AIRSPRINT,0,-0.299315078,0.158698425
AIRSTAR CHARTER,0,-0.515194317,-0.179086586
AIRSTREAM,0,-0.518452942,-0.200274492
AIRSWIFT,0,-0.378652905,-0.031240656
AIRTANKER,0,-0.405617585,-0.082353306
AIRTASK,0,-0.440966721,-0.107145667
AIRTRAFFIC,0,-0.347164546,-0.011046322
AIRWORK,0,-0.452030482,-0.015634153
AIRX,0,-0.343404331,0.088426024
AIS AIRLINES,0,-0.321533172,0.022017297
AITHERAS AVIATION GROUP,0,-0.427390823,-0.020057459
AJET,0,1.434322892,-0.073719687
AKASA AIR,0,4.201444454,-1.195503883
ALADDIN JET,0,-0.521711566,-0.221462398
ALAMAN AIR,0,-0.518452942,-0.200274492
ALANTE AIR CHARTER,0,-0.46533568,-0.101554068
ALASKA AIRLINES,0,0.609831852,0.541301584
ALASKA CENTRAL EXPRESS,0,-0.297384335,0.060928377
ALBASTAR,0,-0.508677067,-0.136710775
ALBATROS AIRLINES,0,-0.521711566,-0.221462398
ALBINATI AERONAUTICS,0,-0.518452942,-0.200274492
ALBINATI AVIATION,0,-0.521711566,-0.221462398
ALEXANDRIA AIRLINES,0,-0.521711566,-0.221462398
ALFA AIRLINES,0,-0.518452942,-0.200274492
ALHAYA AVIATION,0,-0.521711566,-0.221462398
ALIDAUNIA,0,-0.404640241,-0.009423562
ALISERIO,0,-0.416841906,0.010658787
ALK AIRLINES,0,-0.521711566,-0.221462398
ALKAN AIR,0,-0.392196163,0.147236561
ALL NIPPON AIRWAYS,0,1.545350125,1.105628705
ALLEGIANT AIR,0,0.244954948,0.107964039
ALLIANCE AIR,0,-0.317534093,0.088851887
ALLIANCE AIRLINES,0,-0.289781251,0.14136009
ALLIANCE EXECUTIVE JETS,0,-0.457011977,-0.108947894
ALLIED AIR,0,-0.511935692,-0.15789868
ALMASRIA UNIVERSAL AIRLINES,0,-0.395029612,-0.015284712
ALOHA AIR CARGO,0,-0.472891987,-0.041325254
ALPAVIA,0,-0.405617585,-0.082353306
ALPHA AVIATION,0,-0.360024709,0.119706983
ALPHA THREE AVIATION,0,-0.521711566,-0.221462398
ALPHALAND AVIATION,0,-0.405617585,-0.082353306
ALPHASKY,0,-0.515194317,-0.179086586
ALPINE AIR EXPRESS,0,-0.273170849,0.236748651
ALPINE FLIGHTSERVICE,0,-0.518452942,-0.200274492
ALROSA,0,-0.421994293,-0.066397362
ALTAGNA,0,-0.518452942,-0.200274492
ALTAIR AIRLINES,0,-0.521711566,-0.221462398
ALTIUS AVIATION,0,-0.457011977,-0.108947894
AMAKUSA AIRLINES,0,-0.521711566,-0.221462398
AMC AIRLINES,0,-0.440966721,-0.107145667
AMC AVIATION,0,-0.448296884,0.109961526
AMELIA,0,-0.365259263,0.112626942
AMERICAN AIR CHARTER,0,-0.472933298,-0.058681471
AMERICAN AIRLINES,0,0.618667841,2.540929963
AMERICAN JET,0,-0.469798607,-0.089562216
AMERICAN JET INTERNATIONAL,0,-0.411677019,-0.000497061
AMERIFLIGHT,0,-0.244027983,0.384671483
AMERIJET INTERNATIONAL,0,-0.387970964,0.029427684
AMERISTAR,0,-0.355339053,0.035368723
ANAP JETS,0,-0.472055377,-0.07494292
ANDES LINEAS AEREAS,0,-0.457011977,-0.108947894
ANGARA AIRLINES,0,-0.405617585,-0.082353306
ANGUILLA AIR SERVICES,0,-0.505418443,-0.115522869
ANIMAWINGS,0,10.64825979,-6.564986995
ANTONOV AIRLINES,0,-0.472055377,-0.07494292
APG AIRLINES,0,-0.521711566,-0.221462398
ARAB WINGS,0,-0.508677067,-0.136710775
ARAJET,0,5.327485949,-2.072979822
ARC EN CIEL,0,-0.457011977,-0.108947894
ARCUS AIR,0,-0.381889659,0.001210336
ARGENTINA - AIR FORCE,0,-0.293811702,0.429933372
ARIANA AFGHAN AIRLINES,0,-0.434178772,-0.063601563
ARIK AIR,0,-0.381889659,0.001210336
ARIRANG AVIATION,0,-0.518452942,-0.200274492
ARKHANGELSK AIRLINES,0,-0.366739125,-0.035204747
ARM AVIACION,0,-0.441950936,-0.055550876
ARMENIA AIRWAYS,0,-0.515194317,-0.179086586
ARUBA AIRLINES,0,-0.521711566,-0.221462398
ASCEND AIRWAYS,0,9.822987371,-5.973437026
ASG BUSINESS AVIATION,0,-0.441950936,-0.055550876
ASIA CARGO AIRLINES,0,-0.518452942,-0.200274492
ASIA PACIFIC AIRLINES,0,-0.46533568,-0.101554068
ASIA UNION AIRLINES,0,-0.518452942,-0.200274492
ASIAN EXPRESS AIRLINES,0,-0.521711566,-0.221462398
ASIAN EXPRESS GENERAL AVIATION WUXI,0,-0.402088261,-0.059997108
ASIANA AIRLINES,0,0.883514806,0.958784865
ASKY AIRLINES,0,1.870051671,-1.318034042
ASL AIRLINES,0,-0.271521358,0.750699547
ASMAN AIRLINES,0,-0.521711566,-0.221462398
ASPEN HELICOPTERS,0,-0.426270104,0.068658255
ASTA LINHAS AEREAS,0,-0.366739125,-0.035204747
ASTONFLY,0,-0.309998422,0.060674831
ASTONJET,0,-0.343093822,0.01364646
ASTRAL AVIATION,0,-0.505418443,-0.115522869
ATA AIRLINES,0,-0.36942233,0.071363066
ATI JET,0,-0.311767527,0.078412615
ATLANTA AIR CHARTER,0,-0.440966721,-0.107145667
ATLANTIC AIRWAYS,0,6.100841046,-4.078228243
ATLANTIC FLIGHT TRAINING ACADEMY,0,-0.343404331,0.088426024
ATLAS AIR,0,-0.286462041,0.626526002
ATLAS AIR SERVICE,0,-0.43185375,-0.008065607
ATM INFORMATION SERVICE JAPAN,0,-0.402088261,-0.059997108
ATMOSPHERICA AVIATION,0,-0.434178772,-0.063601563
