airline,fleet_size,n_models,diversity,new_gen_share,indice_modernite_v0,indice_public,indice_penalise,n_a220,n_787,n_a350,n_a330neo,n_neo,n_max,pct_a220,pct_787,pct_a350,pct_a330neo,pct_neo,pct_max,pct_newgen_narrow,pct_newgen_wide,fleet_bucket
SCOOT,56,6.0,0.1071428571428571,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0178571428571428,0.0,0.0178571428571428,0.0357142857142857,Large
INDIGO,408,12.0,0.0294117647058823,0.803921568627451,0.803921568627451,0.803921568627451,0.803921568627451,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0024509803921568,0.0,0.0,0.0049019607843137,0.0,0.0049019607843137,0.0024509803921568,Large
MARABU,10,2.0,0.2,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,Medium
BREEZE AIRWAYS,54,3.0,0.0555555555555555,0.7962962962962963,0.7962962962962963,0.7962962962962963,0.7962962962962963,1.0,0.0,0.0,0.0,0.0,0.0,0.0185185185185185,0.0,0.0,0.0,0.0,0.0,0.0185185185185185,0.0,Large
NEOS,18,4.0,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,Large
JETSMART,49,3.0,0.0612244897959183,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0204081632653061,0.0,0.0204081632653061,0.0,Large
AIR INDIA,191,12.0,0.06282722513089,0.7591623036649214,0.7591623036649214,0.7591623036649214,0.7591623036649214,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0104712041884816,0.0052356020942408,0.0,0.0052356020942408,0.0,0.0052356020942408,0.0157068062827225,Large
OMAN AIR,32,5.0,0.15625,0.75,0.75,0.75,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.03125,0.0,0.0,0.0,0.03125,0.03125,0.03125,Large
AEROMEXICO,125,9.0,0.072,0.728,0.728,0.728,0.728,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.016,0.0,0.0,0.0,0.016,0.016,0.016,Large
GULF AIR,43,6.0,0.1395348837209302,0.7209302325581395,0.7209302325581395,0.7209302325581395,0.7209302325581395,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0232558139534883,0.0,0.0,0.0232558139534883,0.0,0.0232558139534883,0.0232558139534883,Large
SINGAPORE AIRLINES,154,7.0,0.0454545454545454,0.7077922077922078,0.7077922077922078,0.7077922077922078,0.7077922077922078,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0064935064935064,0.0064935064935064,0.0,0.0,0.0064935064935064,0.0064935064935064,0.0129870129870129,Large
AZORES AIRLINES,10,4.0,0.4,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,Medium
FLYDUBAI,91,3.0,0.0329670329670329,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0219780219780219,0.0219780219780219,0.0,Large
WIZZ AIR,240,6.0,0.025,0.6875,0.6875,0.6875,0.6875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0041666666666666,0.0,0.0041666666666666,0.0,Large
AIRCALIN,6,3.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,Medium
CYPRUS AIRWAYS,6,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,Medium
ITA AIRWAYS,102,11.0,0.1078431372549019,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.0,1.0,0.0,2.0,0.0,0.0196078431372549,0.0,0.0098039215686274,0.0,0.0196078431372549,0.0,0.0392156862745098,0.0098039215686274,Large
LUFTHANSA CITY,11,2.0,0.1818181818181818,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0909090909090909,0.0,Medium
QINGDAO AIRLINES,38,3.0,0.0789473684210526,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0263157894736842,0.0,Large
SPIRIT AIRLINES,196,4.0,0.0204081632653061,0.6275510204081632,0.6275510204081632,0.6275510204081632,0.6275510204081632,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0051020408163265,0.0,0.0051020408163265,0.0,Large
FLYADEAL,45,6.0,0.1333333333333333,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,0.0222222222222222,0.0,Large
SAS,134,11.0,0.0820895522388059,0.6194029850746269,0.6194029850746269,0.6194029850746269,0.6194029850746269,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0074626865671641,0.0,0.0074626865671641,0.0,0.0074626865671641,0.0074626865671641,Large
VOLARIS,148,7.0,0.0472972972972973,0.6148648648648649,0.6148648648648649,0.6148648648648649,0.6148648648648649,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0135135135135135,0.0,0.0135135135135135,0.0,Large
PORTER,75,2.0,0.0266666666666666,0.6133333333333333,0.6133333333333333,0.6133333333333333,0.6133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large
LOONG AIR,74,5.0,0.0675675675675675,0.6081081081081081,0.6081081081081081,0.6081081081081081,0.6081081081081081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0135135135135135,0.0,0.0135135135135135,0.0,Large
AIR AUSTRAL,7,3.0,0.4285714285714285,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,Medium
TAP AIR PORTUGAL,100,14.0,0.14,0.57,0.57,0.57,0.57,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,Large
CEBU PACIFIC,92,7.0,0.0760869565217391,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0108695652173913,0.0,0.0108695652173913,0.0,Large
ETIHAD AIRWAYS,103,13.0,0.1262135922330097,0.5631067961165048,0.5631067961165048,0.5631067961165048,0.5631067961165048,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0194174757281553,0.0097087378640776,0.0,0.0194174757281553,0.0,0.0194174757281553,0.029126213592233,Large
AIR INDIA EXPRESS,114,8.0,0.0701754385964912,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0087719298245614,0.0087719298245614,0.0175438596491228,0.0,Large
PEACH,36,3.0,0.0833333333333333,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.0,0.0277777777777777,0.0,Large
VIETNAM AIRLINES,92,6.0,0.0652173913043478,0.5543478260869565,0.5543478260869565,0.5543478260869565,0.5543478260869565,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0217391304347826,0.0108695652173913,0.0,0.0217391304347826,0.0,0.0217391304347826,0.0326086956521739,Large
AIR EUROPA,58,10.0,0.1724137931034483,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.0172413793103448,0.0172413793103448,0.0344827586206896,Large
COLORFUL GUIZHOU AIRLINES,20,2.0,0.1,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,Large
KUWAIT AIRWAYS,31,6.0,0.1935483870967742,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.032258064516129,0.0,Large
HELVETIC AIRWAYS,22,4.0,0.1818181818181818,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large
ICELANDAIR,46,11.0,0.2391304347826087,0.5434782608695652,0.5434782608695652,0.5434782608695652,0.5434782608695652,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.0434782608695652,0.0,Large
AIR CARAIBES,13,4.0,0.3076923076923077,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.1538461538461538,Medium
