airline,fleet_size,diversity,modernity_index,version_v1,qa_notes
HAWAIIAN AIRLINES,65,0.107692308,0.012307692,v1,
SOUTHWEST AIRLINES,816,0.019607843,0.000490196,v1,
AIR FRANCE,279,0.0609319,0.005017921,v1,
AIR SENEGAL,9,0.555555556,0.066666667,v1,
ATLANTIC AIRWAYS,6,0.5,0.066666667,v1,
CHONGQING AIRLINES,36,0.222222222,0.011111111,v1,
EASTAR JET,15,0.333333333,0.026666667,v1,
SUNCLASS AIRLINES,12,0.333333333,0,v1,
IBERIA,137,0.116788321,0.008759124,v1,
CROATIA AIRLINES,16,0.25,0.0375,v1,
WESTJET,192,0.067708333,0.004166667,v1,
JETSTAR,125,0.04,0.0064,v1,
AIR CORSICA,13,0.230769231,0.030769231,v1,
NORWEGIAN,91,0.098901099,0.004395604,v1,
SOUTHWIND AIRLINES,13,0.538461538,0.030769231,v1,
XIAMEN AIR,177,0.062146893,0.006779661,v1,
AIR CHINA,507,0.049309665,0.005522682,v1,
SICHUAN AIRLINES,206,0.067961165,0.005825243,v1,
MIAT MONGOLIAN AIRLINES,10,0.9,0.08,v1,
SCAT,27,0.444444444,0.02962963,v1,
SHANGHAI AIRLINES,88,0.079545455,0.009090909,v1,
KLM,193,0.093264249,0.004145078,v1,
AIR NEW ZEALAND,113,0.07079646,0.007079646,v1,
JETBLUE,295,0.023728814,0.002033898,v1,
HAINAN AIRLINES,224,0.066964286,0.007142857,v1,
AIR SEYCHELLES,7,0.285714286,0.057142857,v1,
BIMAN BANGLADESH AIRLINES,21,0.333333333,0.038095238,v1,
GX AIRLINES,21,0.19047619,0.019047619,v1,
IBOM AIR,7,0.285714286,0.085714286,v1,
ROYAL AIR MAROC,56,0.178571429,0.021428571,v1,
UGANDA AIRLINES,7,0.428571429,0,v1,
CORENDON AIRLINES,32,0.59375,0.025,v1,
RYANAIR,581,0.008605852,0.000688468,v1,
LUFTHANSA,308,0.055194805,0.003896104,v1,
