airline,fleet_size,diversity,modernity_index,version_v1,qa_notes
CRANFIELD FLIGHT TRAINING,5,1,0,v1,
CROATIA - AIR FORCE,7,1,0,v1,
CRYSTAL AIR,6,1,0,v1,
CTP AVIATION,6,1,0,v1,
CUBANA,9,0.555555556,0,v1,
CYGNUS AIR,5,0.8,0,v1,
CZECHIA - AIR FORCE,21,0.333333333,0,v1,
DALIAN AIRLINES,13,0.153846154,0,v1,
DANA AIR,7,0.571428571,0,v1,
DAS PRIVATE JETS,5,0.8,0,v1,
DASSAULT FALCON SERVICE,8,0.625,0,v1,
DAT,23,0.47826087,0,v1,
DE HAVILLAND CANADA,23,0.173913043,0,v1,
DEER JET,15,0.4,0,v1,
DELTA STATE UNIVERSITY AVIATION,28,0.25,0,v1,
DEXTER AIR TAXI,5,0.4,0,v1,
DHL AIR,231,0.298701299,0,v1,
DIAMOND SKY,5,0.8,0,v1,
DISCOVER AIRLINES,30,0.1,0,v1,
DIVI DIVI AIR,5,0.6,0,v1,
DRAKEN EUROPE,29,0.344827586,0,v1,
DREAMLINE AVIATION,11,0.636363636,0,v1,
DRF LUFTRETTUNG,54,0.092592593,0,v1,
E+S AIR,12,0.083333333,0,v1,
EADS CASA,6,0.5,0,v1,
EAGLEMED,17,0.176470588,0,v1,
EAS BARCELONA,15,0.266666667,0,v1,
EAST COAST JETS,5,0.6,0,v1,
EASTERN AIR EXPRESS,23,0.47826087,0,v1,
EASTERN AIRWAYS,19,0.263157895,0,v1,
ECUADOR - AIR FORCE,22,0.363636364,0,v1,
EGYPT - AIR FORCE,56,0.232142857,0,v1,
EGYPTAIR CARGO,5,0.6,0,v1,
EIS AIRCRAFT,12,0.333333333,0,v1,
EJM EUROPE,9,0.888888889,0,v1,
ELANGENI,6,0.666666667,0,v1,
ELECTRA AIRWAYS,7,0.428571429,0,v1,
ELIFRIULIA,17,0.176470588,0,v1,
ELILOMBARDA,5,0.6,0,v1,
ELIOSSOLA,6,0.166666667,0,v1,
ELITALIANA,12,0.666666667,0,v1,
ELITE AIR,13,0.923076923,0,v1,
ELITELLINA,5,0.2,0,v1,
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,244,0.069672131,0,v1,
EMIRATES FLIGHT TRAINING ACADEMY,30,0.133333333,0,v1,
EMPIRE AVIATION,6,0.666666667,0,v1,
ENAC ECOLE AVIATION CIVILE,90,0.1,0,v1,
ENCORE AIR CARGO,15,0.2,0,v1,
EPIC FLIGHT ACADEMY,49,0.06122449,0,v1,
ERA HELICOPTERS,59,0.186440678,0,v1,
ESTAFETA CARGA AEREA,6,0.833333333,0,v1,
EURO-ASIA AIR,5,0.4,0,v1,
EUROATLANTIC AIRWAYS,5,0.6,0,v1,
EUROCOPTER DEUTSCHLAND,126,0.023809524,0,v1,
EUROPEAN AIR CHARTER,6,0.166666667,0,v1,
EUROPEAN AIRCRAFT PRIVATE CLUB,10,0.3,0,v1,
EUROPEAN CARGO,9,0.222222222,0,v1,
EUROPEAN FLIGHT ACADEMY,24,0.166666667,0,v1,
EUROPEAN FLYERS,13,0.461538462,0,v1,
EVERTS AIR ALASKA,32,0.46875,0,v1,
EXCELLENT AIR,12,0.333333333,0,v1,
EXECUTIVE FLITEWAYS,12,0.833333333,0,v1,
EXECUTIVE JET MANAGEMENT,76,0.473684211,0,v1,
FAI RENT-A-JET,25,0.24,0,v1,
FAIROAKS FLIGHT CENTRE,5,0.8,0,v1,
FALCON AVIATION SERVICES,22,0.363636364,0,v1,
FARMINGDALE STATE UNIVERSITY AVIATION,17,0.176470588,0,v1,
FAST AIR,11,0.818181818,0,v1,
FASTJET,5,0.6,0,v1,
FEDERAL AIRLINES,11,0.363636364,0,v1,
FEDEX,698,0.055873926,0,v1,
FENIX AIR CHARTER,6,0.5,0,v1,
FFL FLUGSCHULE,12,0.666666667,0,v1,
FINLAND - AIR FORCE,33,0.151515152,0,v1,
FIREFLY,14,0.142857143,0,v1,
FLEET AIR INTERNATIONAL,12,0.416666667,0,v1,
FLEXJET,309,0.077669903,0,v1,
FLIGHT CALIBRATION SERVICES,13,0.538461538,0,v1,
FLIGHT FAST TRACK,10,0.3,0,v1,
FLIGHT OPTIONS,5,0.6,0,v1,
FLIGHT TRAINING EUROPE,29,0.103448276,0,v1,
FLIGHTLINE,6,0.333333333,0,v1,
FLIGHTPATH CHARTER AIRWAYS,13,0.923076923,0,v1,
FLORIDA AIR CARGO,5,0.8,0,v1,
FLORIDA FLYERS FLIGHT ACADEMY,13,0.307692308,0,v1,
FLORIDA TECH COLLEGE OF AERONAUTICS,47,0.170212766,0,v1,
FLTPLAN,16,0.8125,0,v1,
FLY 7,20,0.2,0,v1,
FLY ACROSS,16,0.5,0,v1,
FLY ALLIANCE,15,0.333333333,0,v1,
FLY BAGHDAD,7,1,0,v1,
FLY JET.KZ,6,0.666666667,0,v1,
FLY JINNAH,6,0.166666667,0,v1,
FLY TYROL,6,0.666666667,0,v1,
FLY-COOP AIR SERVICE,14,0.785714286,0,v1,
FLY2SKY,11,0.363636364,0,v1,
FLYBONDI,14,0.357142857,0,v1,
FLYBY,21,0.238095238,0,v1,
FLYEXCLUSIVE,115,0.113043478,0,v1,
FLYNAMIBIA,6,0.833333333,0,v1,
FLYSAFAIR,38,0.473684211,0,v1,
FLYSCHOOL,15,0.533333333,0,v1,
FLYWALES,5,0.8,0,v1,
FOUR CORNERS AVIATION,5,0.6,0,v1,
FRANCE - AIR FORCE,29,0.275862069,0,v1,
FRANCE - AIR FORCES COMMAND,6,0.666666667,0,v1,
FRANCE - NAVY,10,0.3,0,v1,
FRANCE - SECURITE CIVILE,13,0.307692308,0,v1,
FREEBIRD AIRLINES,17,0.117647059,0,v1,
FREEDOM AIRLINE EXPRESS,6,0.833333333,0,v1,
FREIGHT RUNNERS EXPRESS,15,0.333333333,0,v1,
FUJI DREAM AIRLINES,16,0.1875,0,v1,
GAINJET,5,0.6,0,v1,
GAMA AVIATION,16,0.8125,0,v1,
GARMIN,8,1,0,v1,
GAZPROMAVIA,39,0.41025641,0,v1,
GENGHIS KHAN AIRLINES,7,0.142857143,0,v1,
GEORGIAN AIRLINES,5,1,0,v1,
GEORGIAN AIRWAYS,10,1,0,v1,
GEOSKY,5,1,0,v1,
GERMAN AIRWAYS,9,0.444444444,0,v1,
GERMANY - AIR AMBULANCE,68,0.044117647,0,v1,
GERMANY - ARMY,34,0.205882353,0,v1,
GERMANY - DLR FLUGBETRIEBE,10,1,0,v1,
GERMANY - NAVY,11,0.181818182,0,v1,
GESELLSCHAFT FUR FLUGZIELDARSTELLUNG,16,0.1875,0,v1,
GESTAIR,20,0.7,0,v1,
GETJET AIRLINES,16,0.5,0,v1,
GLOBAL AVIATION,8,0.75,0,v1,
GLOBAL JET LUXEMBOURG,15,0.8,0,v1,
GLOBALX,8,0.625,0,v1,
GLOBEAIR,20,0.05,0,v1,
GOUVERNEMENT DU QUEBEC,19,0.421052632,0,v1,
GRAND CANYON AIRLINES,10,0.2,0,v1,
GRANT AVIATION,14,0.571428571,0,v1,
GREATER BAY AIRLINES,7,0.428571429,0,v1,
GREECE - AIR FORCE,49,0.346938776,0,v1,
GREYBIRD AVIATION,11,0.272727273,0,v1,
GTA AIR,17,0.411764706,0,v1,
GULFSTREAM AEROSPACE,336,0.023809524,0,v1,
GUM AIR,9,0.777777778,0,v1,
GUNA AIRLINES,7,0.428571429,0,v1,
HAI AU AVIATION,5,0.6,0,v1,
HALI-UNION,7,0,0,v1,
HANSEO UNIVERSITY FLIGHT EDUCATION CENTER,9,0.222222222,0,v1,
HARCO AVIATION,5,0.8,0,v1,
HEBEI AIRLINES,28,0.107142857,0,v1,
HELI HOLLAND,16,0.625,0,v1,
HELI SERVICE INTERNATIONAL,10,0.2,0,v1,
HELI-TEAM,6,0.333333333,0,v1,
HELICOL,6,0.333333333,0,v1,
HELIDUBAI,5,0.2,0,v1,
HELIJET INTERNATIONAL,14,0.428571429,0,v1,
HELISERVICIO,9,0.444444444,0,v1,
HELISTAR,24,0.583333333,0,v1,
HELITRANS,25,0.2,0,v1,
HELLOJETS,8,0.875,0,v1,
HERA FLIGHT,15,0.466666667,0,v1,
HERON AVIATION,8,0.75,0,v1,
HESTON AIRLINES,10,0.4,0,v1,
HI FLY,13,0.615384615,0,v1,
HINTERLAND AVIATION,16,0.3125,0,v1,
HONG KONG AIR CARGO,5,0.2,0,v1,
HONG KONG AIRLINES,28,0.142857143,0,v1,
HOP-A-JET,7,0.428571429,0,v1,
HOPER,5,0.8,0,v1,
HTM HELICOPTER TRAVEL MUNICH,15,0.2,0,v1,
HUNGARY - AIR FORCE,7,0.428571429,0,v1,
HYPERION AVIATION,7,0.857142857,0,v1,
I-FLY,6,0.5,0,v1,
IAS MEDICAL,7,0.428571429,0,v1,
IASCO FLIGHT TRAINING,24,0.083333333,0,v1,
IBC AIRWAYS,15,0.266666667,0,v1,
IBEX AIRLINES,9,0.111111111,0,v1,
IFA - INSTITUTO DE FORMACAO AERONAUTICA,16,0.625,0,v1,
IFL GROUP,22,0.318181818,0,v1,
IKAR,8,0.375,0,v1,
INDIA - AIR FORCE,273,0.131868132,0,v1,
INDIANA STATE UNIVERSITY FLIGHT ACADEMY,14,0.285714286,0,v1,
INTERCARIBBEAN AIRWAYS,21,0.476190476,0,v1,
INTERNATIONAL JET,6,0.666666667,0,v1,
INTERNATIONAL JET MANAGEMENT,11,1,0,v1,
IRAERO,9,0.444444444,0,v1,
IRAN AIR,32,0.3125,0,v1,
IRAN AIRTOUR,17,0.470588235,0,v1,
IRAN ASEMAN AIRLINES,16,0.375,0,v1,
IRAQ GATE COMPANY,5,0.6,0,v1,
ITALFLY,11,0.727272727,0,v1,
ITALY - AIR FORCE,201,0.199004975,0,v1,
ITALY - ARMY,37,0.189189189,0,v1,
ITALY - COAST GUARD,20,0.2,0,v1,
ITALY - NAVY,36,0.138888889,0,v1,
IZHAVIA,7,0.571428571,0,v1,
JAMBOJET,9,0.111111111,0,v1,
JAPAN AIR COMMUTER,11,0.181818182,0,v1,
JAPAN TRANSOCEAN AIR,19,0.157894737,0,v1,
JDL AIRLINES,10,0.4,0,v1,
JET AVIATION BUSINESS JETS,6,0.833333333,0,v1,
JET EDGE,6,0.666666667,0,v1,
JET IT,8,0.375,0,v1,
JET LINX AVIATION,133,0.315789474,0,v1,
JET LOGISTICS,5,0.8,0,v1,
JET OUT,9,0.333333333,0,v1,
JET STORY,10,0.9,0,v1,
JETFLY AVIATION,43,0.093023256,0,v1,
JETICA,7,0.714285714,0,v1,
JETNETHERLANDS,10,0.9,0,v1,
JETRIGHT,10,0.5,0,v1,
JETSTREAM,9,0.444444444,0,v1,
JETTIME,14,0.714285714,0,v1,
JIANGXI AIR,18,0.166666667,0,v1,
JIANGXI EXPRESS AVIATION,11,0.090909091,0,v1,
JOINJET,6,0.666666667,0,v1,
JONAIR,6,0.666666667,0,v1,
JORDAN - AIR FORCE,31,0.258064516,0,v1,
JORDAN AVIATION,7,0.714285714,0,v1,
JOURNEY AVIATION,8,0.625,0,v1,
JSX,72,0.055555556,0,v1,
K&R AVIATION,9,0.444444444,0,v1,
K-MILE AIR,7,0.714285714,0,v1,
KALITTA AIR,31,0.322580645,0,v1,
KALITTA CHARTERS,29,0.344827586,0,v1,
KALITTA CHARTERS II,12,0.75,0,v1,
KAM AIR,11,0.363636364,0,v1,
KAMAKA AIR,10,0.6,0,v1,
KANSAS STATE UNIVERSITY AVIATION,32,0.25,0,v1,
KARUN AIRLINES,13,0.384615385,0,v1,
KAZ AIR JET,7,0.857142857,0,v1,
KENMORE AIR,34,0.264705882,0,v1,
KENN BOREK AIR,35,0.228571429,0,v1,
KENT STATE UNIVERSITY COLLEGE OF AERONAUTICS,37,0.216216216,0,v1,
KEY LIME AIR,24,0.333333333,0,v1,
KF AEROSPACE,6,0.666666667,0,v1,
KISH AIR,11,0.363636364,0,v1,
KLASJET,13,0.769230769,0,v1,
KN HELICOPTERS,9,0.444444444,0,v1,
KOREA AEROSPACE UNIVERSITY,19,0.157894737,0,v1,
KOREA AVIATION COLLEGE,8,0.375,0,v1,
KOREA NATIONAL UNIVERSITY OF TRANSPORTATION,5,0.2,0,v1,
KRASAVIA,19,0.315789474,0,v1,
KYUNGWOON UNIVERSITY,8,0.375,0,v1,
L.J. AVIATION,14,0.714285714,0,v1,
L3HARRIS AIRLINE ACADEMY,110,0.072727273,0,v1,
LABCORP,13,0.230769231,0,v1,
LAO AIRLINES,12,0.333333333,0,v1,
LASER AIRLINES,8,0.375,0,v1,
LATAM CARGO,19,0.157894737,0,v1,
LAUDA EUROPE,26,0.115384615,0,v1,
LEGENDS AIRWAYS,7,0.428571429,0,v1,
LETOURNEAU UNIVERSITY AVIATION,22,0.318181818,0,v1,
LEVEL,7,0.285714286,0,v1,
LEVIATE AIR GROUP,7,0.571428571,0,v1,
LIBYAN AIRLINES,5,0.6,0,v1,
LIEBHERR AEROSPACE,6,0.666666667,0,v1,
LIFEFLIGHT AUSTRALIA,21,0.238095238,0,v1,
LIFT ACADEMY,80,0.05,0,v1,
LOGANAIR,42,0.261904762,0,v1,
LONGJIANG AIRLINES,9,0.333333333,0,v1,
LUFTHANSA CARGO,16,0.25,0,v1,
LUFTTRANSPORT,6,0.666666667,0,v1,
LUKOIL-AVIA,5,0.8,0,v1,
LUNDS UNIVERSITY SCHOOL OF AVIATION,9,0.333333333,0,v1,
LUXAVIATION,41,0.634146341,0,v1,
LUXEMBOURG AIR AMBULANCE,7,0.428571429,0,v1,
LUXWING,15,0.6,0,v1,
LYNDEN AIR CARGO,13,0.384615385,0,v1,
MACK AIR,22,0.136363636,0,v1,
MADAGASCAR AIRLINES,5,0.4,0,v1,
MAERSK AIR CARGO,22,0.409090909,0,v1,
MAGNICHARTERS,6,0.333333333,0,v1,
MAHAN AIR,35,0.371428571,0,v1,
MAKERS AIR,8,0.25,0,v1,
MALAYSIA - AIR FORCE,14,0.428571429,0,v1,
MALDIVIAN,22,0.318181818,0,v1,
MALI AIR,5,0.8,0,v1,
MANDARIN AIRLINES,13,0.153846154,0,v1,
MANTA AIR,23,0.217391304,0,v1,
MARSHALL UNIVERSITY AVIATION,12,0.25,0,v1,
MARTINAIRE,25,0.08,0,v1,
MASSEY UNIVERSITY SCHOOL OF AVIATION,14,0.142857143,0,v1,
MASWINGS,14,0.142857143,0,v1,
MAVI GAK AIRLINES,13,0,0,v1,
MAX AIR,11,1,0,v1,
MAX AVIATION,13,0.384615385,0,v1,
MAXAIR,9,0.444444444,0,v1,
MAYA ISLAND AIR,7,0.285714286,0,v1,
MCNEELY CHARTER SERVICES,5,0.6,0,v1,
MED-TRANS,13,0.230769231,0,v1,
MEMORIAL HERMANN LIFE FLIGHT,8,0.125,0,v1,
MERAJ AIRLINES,8,0.75,0,v1,
MEREGRASS,5,0.4,0,v1,
MERIDIAN AIR COMPANY,5,0.6,0,v1,
MESA AIRLINES,6,0.333333333,0,v1,
MEXICO - NAVY,50,0.34,0,v1,
MHS AVIATION,6,0.833333333,0,v1,
MIDAMERICA JET,5,0.8,0,v1,
MIDDLE GEORGIA STATE UNIVERSITY SCHOOL OF AVIATION,62,0.161290323,0,v1,
MIDDLE TENNESSEE STATE UNIVERSITY AEROSPACE,56,0.214285714,0,v1,
MIDWEST AVIATION,10,0.3,0,v1,
MIDWEST AVIATION DIVISION,7,0.571428571,0,v1,
MJETS AIR,6,0.833333333,0,v1,
MNG AIRLINES,12,0.5,0,v1,
MOTOR SICH AIRLINES,9,0.555555556,0,v1,
MOUNTAIN AVIATION,19,0.315789474,0,v1,
MOUNTAIN FLYERS,9,0.555555556,0,v1,
MY FREIGHTER,9,0.666666667,0,v1,
MY INDO AIRLINES,10,1,0,v1,
MY JET,7,1,0,v1,
MYANMAR AIRWAYS INTERNATIONAL,10,0.6,0,v1,
MYANMAR NATIONAL AIRLINES,10,0.3,0,v1,
NAM AIR,16,0.1875,0,v1,
NAN,75,0,0,v1,
NANSHAN FLYING,10,0.4,0,v1,
NATIONAL AIRWAYS CORPORATION,8,0.75,0,v1,
NATIONAL JET EXPRESS,20,0.2,0,v1,
NATO,26,0.153846154,0,v1,
NAURU AIRLINES,7,1,0,v1,
NEAJETS,7,0.714285714,0,v1,
NEPAL AIRLINES,5,0.6,0,v1,
NESMA AIRLINES,8,0.375,0,v1,
NETHERLANDS - COAST GUARD,7,0.571428571,0,v1,
NETHERLANDS - NAVY,8,0.125,0,v1,
NETHERLANDS - ROYAL AIR FORCE,66,0.181818182,0,v1,
NETJETS,809,0.018541409,0,v1,
NEW ENGLAND AIRLINES,8,0.5,0,v1,
NEW PACIFIC AIRLINES,8,0.25,0,v1,
NEW ZEALAND - ROYAL NEW ZEALAND AIR FORCE,42,0.30952381,0,v1,
NHC NORTHERN HELICOPTER,15,0.2,0,v1,
NIGERIA - AIR FORCE,10,0.7,0,v1,
NILE AIR,5,0.6,0,v1,
NIPPON CARGO AIRLINES,8,0.125,0,v1,
NOK AIR,11,0.545454545,0,v1,
NOLINOR AVIATION,11,0.909090909,0,v1,
NOORDZEE HELIKOPTERS VLAANDEREN,19,0.263157895,0,v1,
NORDIC UNMANNED,9,0.333333333,0,v1,
NORDSTAR,9,0.555555556,0,v1,
NORLANDAIR,7,0.571428571,0,v1,
NORSK LUFTAMBULANSE,26,0.115384615,0,v1,
NORTAVIA,20,0.4,0,v1,
NORTH CARIBOO AIR,18,0.444444444,0,v1,
NORTH FLYING,8,0.375,0,v1,
NORTH STAR AVIATION,48,0.145833333,0,v1,
NORTH-WRIGHT AIRWAYS,18,0.722222222,0,v1,
NORTHERN AIR,5,1,0,v1,
NORTHERN AIR CARGO,9,0.555555556,0,v1,
NORTHERN JET MANAGEMENT,25,0.52,0,v1,
NORTHWAY AVIATION,9,0.333333333,0,v1,
NORTHWESTERN AIR,12,0.583333333,0,v1,
NORWAY - AIR FORCE,25,0.24,0,v1,
NOVAJET,5,1,0,v1,
NOVOAIR,5,0.2,0,v1,
NYXAIR,8,0.75,0,v1,
OFFSHORE HELICOPTER SERVICES,27,0.148148148,0,v1,
OHIO STATE UNIVERSITY AVIATION,23,0.304347826,0,v1,
OK AVIATION,17,0.470588235,0,v1,
OKAY AIRWAYS,22,0.318181818,0,v1,
OKLAHOMA STATE UNIVERSITY AVIATION,35,0.171428571,0,v1,
OLYMPIC AIR,17,0.176470588,0,v1,
OMAN - ROYAL AIR FORCE,27,0.333333333,0,v1,
OMNI AIR TRANSPORT,11,0.636363636,0,v1,
OMNI AVIATION TRAINING CENTER,11,0.545454545,0,v1,
OMNI TAXI AEREO,81,0.148148148,0,v1,
ONE AIR,18,0.444444444,0,v1,
ORNGE AIR,20,0.1,0,v1,
OSM AVIATION ACADEMY,14,0.214285714,0,v1,
OVERLAND AIRWAYS,6,0.833333333,0,v1,
OYONNAIR,12,0.25,0,v1,
PACC AIR,15,0.333333333,0,v1,
PACIFIC COAST JET,16,0.5625,0,v1,
PACIFIC COASTAL AIRLINES,22,0.318181818,0,v1,
PAKISTAN INTERNATIONAL AIRLINES,25,0.32,0,v1,
PAL AIRLINES,25,0.2,0,v1,
PANORAMA AVIATION,9,0.333333333,0,v1,
PARATA AIR,5,0.6,0,v1,
PARKLAND COLLEGE INSTITUTE OF AVIATION,21,0.238095238,0,v1,
PARS AIR,6,0.666666667,0,v1,
PASCAN AVIATION,21,0.19047619,0,v1,
PASSIONAIR,5,0.4,0,v1,
PATRIA PILOT TRAINING,12,0.166666667,0,v1,
PDG AVIATION SERVICES,20,0.35,0,v1,
PEGASUS ELITE AVIATION,8,0.625,0,v1,
PELITA AIR,22,0.454545455,0,v1,
PERFORMANCE AIR,8,1,0,v1,
PERIMETER AVIATION,15,0.266666667,0,v1,
PERU - AIR FORCE,26,0.423076923,0,v1,
PETRO AIR,6,0.5,0,v1,
PETROLEUM AIR SERVICES,16,0.3125,0,v1,
PETROPAVLOVSK-KAMCHATSKY AIR,7,0.714285714,0,v1,
PHI,151,0.092715232,0,v1,
PHOENIX AIR,22,0.409090909,0,v1,
PHOENIX EAST AVIATION,65,0.046153846,0,v1,
PILATUS FLUGZEUGWERKE,187,0.048128342,0,v1,
PILOT FLIGHT ACADEMY,17,0.117647059,0,v1,
PIXAIR SURVEY,5,1,0,v1,
PLANEMASTER SERVICES,11,0.272727273,0,v1,
PLANESENSE,69,0.043478261,0,v1,
PLATOON AVIATION,8,0.125,0,v1,
PLUS ULTRA,6,0.5,0,v1,
PNG AIR,13,0.230769231,0,v1,
POBEDA,42,0.166666667,0,v1,
POLAND - AIR FORCE,112,0.276785714,0,v1,
POLISH MEDICAL AIR RESCUE,34,0.147058824,0,v1,
POPULAIR,11,0.181818182,0,v1,
POSTE AIR CARGO,7,0.428571429,0,v1,
POUYA AIR,10,0.4,0,v1,
PRECISION AIR,7,0.285714286,0,v1,
PRECISION AIRCRAFT MANAGEMENT,13,0.846153846,0,v1,
PREMIER FLIGHT CENTER,7,0.571428571,0,v1,
PRESIDENTIAL AVIATION,6,0.833333333,0,v1,
PRIESTER AVIATION,10,0.8,0,v1,
PRIVAIRA,6,0.833333333,0,v1,
PRIVATE AIR,5,1,0,v1,
PRIVATE JET CENTER,11,0.363636364,0,v1,
PRIVATE JETS,15,0.466666667,0,v1,
PRIVATE WINGS,10,0.2,0,v1,
PRIVILEGE STYLE,5,0.8,0,v1,
PROAIR AVIATION,7,0.714285714,0,v1,
PROFLIGHT ZAMBIA,11,0.272727273,0,v1,
PROPAIR,13,0.230769231,0,v1,
PURDUE UNIVERSITY SCHOOL OF AVIATION,26,0.153846154,0,v1,
QATAR EXECUTIVE,24,0.125,0,v1,
QAZAQ AIR,5,0.2,0,v1,
QESHM AIRLINES,16,0.25,0,v1,
QINETIQ / EMPIRE TEST PILOTS SCHOOL,16,0.6875,0,v1,
QUALITY FLY,11,0.272727273,0,v1,
QUEST DIAGNOSTICS,26,0.192307692,0,v1,
QUICK AIR JET CHARTER,6,0.666666667,0,v1,
RAINIER FLIGHT SERVICE,13,0.230769231,0,v1,
RANO AIR,5,0.2,0,v1,
RAVENAIR,35,0.4,0,v1,
RAYA AIRWAYS,7,0.714285714,0,v1,
RCS SERVICES,11,0.909090909,0,v1,
REACH AIR MEDICAL SERVICES,36,0.138888889,0,v1,
RECTIMO AIR TRANSPORTS,13,0.461538462,0,v1,
RED ROCK FLIGHT SCHOOL,5,1,0,v1,
RED WINGS,32,0.1875,0,v1,
REDDING AERO ENTERPRISES,16,0.25,0,v1,
REDSTAR AVIATION,15,0.4,0,v1,
REGA SWISS AIR-RESCUE,23,0.130434783,0,v1,
REGENCY AIR,6,0.166666667,0,v1,
RELIANT AIR,7,0.714285714,0,v1,
RENEGADE AIR,9,0.888888889,0,v1,
RENNIA AVIATION,7,0.714285714,0,v1,
REVV AVIATION,7,0.714285714,0,v1,
REX. REGIONAL EXPRESS,37,0.054054054,0,v1,
RICHLAND AVIATION,6,0.5,0,v1,
RIMBUN AIR,6,0.666666667,0,v1,
RISEAIR,30,0.533333333,0,v1,
ROMANIA - AIR FORCE,41,0.341463415,0,v1,
ROSSIYA,129,0.131782946,0,v1,
ROYAL AIR FREIGHT,37,0.243243243,0,v1,
RUILI AIRLINES,25,0.4,0,v1,
RUSJET,16,0.4375,0,v1,
RUSLINE,8,0.25,0,v1,
RUSSIA - 223RD FLIGHT UNIT STATE AIRLINE,10,0.3,0,v1,
RUSSIA - 224TH FLIGHT UNIT STATE AIRLINE,6,0.166666667,0,v1,
RUSSIA - AIR FORCE,84,0.357142857,0,v1,
RUSSIA - MINISTRY OF EMERGENCY SITUATIONS (MCHS),22,0.454545455,0,v1,
RUSSIA - NATIONAL GUARD,9,0.333333333,0,v1,
RUSSIA - SPECIAL FLIGHT SQUADRON,60,0.383333333,0,v1,
RUTACA AIRLINES,7,0.857142857,0,v1,
RVL AVIATION,10,0.4,0,v1,
RWANDAIR,13,0.615384615,0,v1,
RWL GERMAN FLIGHT ACADEMY,20,0.3,0,v1,
RYAN AIR (USA),23,0.391304348,0,v1,
SA RED CROSS AIR MERCY SERVICE,8,0.5,0,v1,
SAAB AIRCRAFT,19,0.526315789,0,v1,
SAF HELICOPTERES,41,0.146341463,0,v1,
SAFARILINK AVIATION,13,0.307692308,0,v1,
SAINT LOUIS UNIVERSITY FLIGHT SCHOOL,15,0.2,0,v1,
SALZBURG JET AVIATION,7,0.714285714,0,v1,
SAMARITAN'S PURSE,18,0.944444444,0,v1,
SAN CARLOS FLIGHT SCHOOL,21,0.380952381,0,v1,
SANSA,12,0.166666667,0,v1,
SAPSAN AIRLINE,6,0.333333333,0,v1,
SATA AIR ACORES,7,0.285714286,0,v1,
SATENA,22,0.272727273,0,v1,
SAUDI ARABIA - AIR FORCE,99,0.080808081,0,v1,
SAWYER AVIATION,8,0.75,0,v1,
SAXONAIR,15,0.733333333,0,v1,
SCANWINGS,10,0.7,0,v1,
SD AVIATION,8,0.625,0,v1,
SEARCA,24,0.291666667,0,v1,
SECURE AIR CHARTER,12,0.5,0,v1,
SEPEHRAN AIRLINES,13,0.769230769,0,v1,
SERBIA - AIR FORCE,6,0.666666667,0,v1,
SERENE AIR,6,0.833333333,0,v1,
SEVENAIR,40,0.5,0,v1,
SEVERSTAL AIRCOMPANY,8,0.375,0,v1,
SF AIRLINES,89,0.460674157,0,v1,
SHREE AIRLINES,9,0.333333333,0,v1,
SIDERAL LINHAS AEREAS,17,0.882352941,0,v1,
SIERRA CHARLIE AVIATION,18,0.111111111,0,v1,
SIERRA WEST AIRLINES,11,0.363636364,0,v1,
SILK WAY AIRLINES,5,0.4,0,v1,
SILK WAY WEST AIRLINES,12,0.333333333,0,v1,
SILKAVIA,5,0.2,0,v1,
SILVER AIR,20,0.65,0,v1,
SILVER CLOUD AIR,5,0.6,0,v1,
SILVERHAWK AVIATION,25,0.44,0,v1,
SINGAPORE - AIR FORCE,38,0.184210526,0,v1,
SKY HELICOPTEROS,14,0.214285714,0,v1,
SKY PRIME AVIATION,5,0.8,0,v1,
SKY QUEST,19,0.526315789,0,v1,
SKY VISION AIRLINES,6,0.5,0,v1,
SKYALPS,10,0.1,0,v1,
SKYBORNE AIRLINE ACADEMY,66,0.136363636,0,v1,
SKYBUS,8,0.25,0,v1,
SKYCARE,18,0.444444444,0,v1,
SKYLINE EXPRESS,7,0.714285714,0,v1,
SKYLINK EXPRESS,15,0.4,0,v1,
SKYMARK AIRLINES,29,0.275862069,0,v1,
SKYSIDE,6,1,0,v1,
SKYTRANS,17,0.294117647,0,v1,
SKYWARD AIRLINES,11,0.545454545,0,v1,
SKYWEST AIRLINES,86,0.081395349,0,v1,
SKYWEST CHARTER,8,0.125,0,v1,
SLATE AVIATION,11,0.363636364,0,v1,
SLOANE HELICOPTERS,12,0.416666667,0,v1,
SLOVAKIA - AIR FORCE,18,0.444444444,0,v1,
SMART AVIATION,6,0.5,0,v1,
SMART JET,5,0.2,0,v1,
SOLAIRUS AVIATION,22,0.636363636,0,v1,
SOLASEED AIR,14,0.214285714,0,v1,
SOLENTA AVIATION,13,0.307692308,0,v1,
SOLOMON AIRLINES,6,0.833333333,0,v1,
SOMON AIR,7,0.571428571,0,v1,
SOULBIRD,10,0.7,0,v1,
SOUNDS AIR,9,0.555555556,0,v1,
SOUTH AFRICA - AIR FORCE,13,0.461538462,0,v1,
SOUTH AFRICAN AIRWAYS,18,0.166666667,0,v1,
SOUTHERN AIRWAYS EXPRESS,46,0.130434783,0,v1,
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF AVIATION,38,0.184210526,0,v1,
SPAIN - AIR FORCE,102,0.303921569,0,v1,
SPAIN - ARMY,25,0.28,0,v1,
SPAIN - COAST GUARD,18,0.222222222,0,v1,
SPAIN - GUARDIA CIVIL,20,0.1,0,v1,
