airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,pct_a220,pct_787,pct_a350,pct_a330neo,pct_neo,pct_max,pct_newgen_narrow,pct_newgen_wide
AIR ALSIE,4,3,0.75,0,0,0,0,0,0,0,0,0,0
AIR ANTILLES,5,3,0.6,0,0,0,0,0,0,0,0,0,0
AIR ARABIA,77,4,0.051948052,0,0.077922078,0,0,0,0,0,0,0,0
AIR ASTANA,34,6,0.176470588,0.023529412,0.823529412,0,0,0,0,0.058823529,0,0.058823529,0
AIR ASTRA,4,1,0.25,0,0,0,0,0,0,0,0,0,0
AIR ATLANTA ICELANDIC,1,1,1,0,0,0,0,0,0,0,0,0,0
AIR AUSTRAL,7,3,0.428571429,0.142857143,0.571428571,0.142857143,0.142857143,0,0,0,0,0.142857143,0.142857143
AIR BALTIC,50,1,0.02,0.012,1,0.02,0,0,0,0,0,0.02,0
AIR BOHEMIA,4,4,1,0,0,0,0,0,0,0,0,0,0
AIR BOREALIS,9,1,0.111111111,0,0,0,0,0,0,0,0,0,0
AIR BOTSWANA,6,4,0.666666667,0,0,0,0,0,0,0,0,0,0
AIR BURKINA,3,3,1,0,0,0,0,0,0,0,0,0,0
AIR BUSAN,21,4,0.19047619,0,0.380952381,0,0,0,0,0,0,0,0
AIR CA TE D'IVOIRE,12,0,0,0,0.083333333,0,0,0,0,0,0,0,0
AIR CAIRO,37,4,0.108108108,0.010810811,0.486486486,0,0,0,0,0.027027027,0,0.027027027,0
AIR CALEDONIE,4,1,0.25,0,0,0,0,0,0,0,0,0,0
AIR CAMBODIA,6,4,0.666666667,0,0,0,0,0,0,0,0,0,0
AIR CANADA,319,18,0.056426332,0.005642633,0.388714734,0.003134796,0.006269592,0,0,0,0.003134796,0.006269592,0.006269592
AIR CANADA ROUGE,37,4,0.108108108,0,0,0,0,0,0,0,0,0,0
AIR CARAIBES,13,4,0.307692308,0.061538462,0.538461538,0,0,0.153846154,0,0,0,0,0.153846154
AIR CARE ALLIANCE,8,7,0.875,0,0,0,0,0,0,0,0,0,0
AIR CARGO CARRIERS,30,4,0.133333333,0,0,0,0,0,0,0,0,0,0
AIR CENTRAL,15,10,0.666666667,0,0,0,0,0,0,0,0,0,0
AIR CENTURY,7,3,0.428571429,0,0,0,0,0,0,0,0,0,0
AIR CHANGAN,14,6,0.428571429,0,0,0,0,0,0,0,0,0,0
AIR CHARTER SCOTLAND,10,7,0.7,0,0,0,0,0,0,0,0,0,0
AIR CHARTER SCOTLAND EUROPE,1,1,1,0,0,0,0,0,0,0,0,0,0
AIR CHARTERS EUROPE,4,3,0.75,0,0,0,0,0,0,0,0,0,0
AIR CHATHAMS,16,9,0.5625,0,0,0,0,0,0,0,0,0,0
AIR CHINA,507,25,0.049309665,0.005522682,0.301775148,0,0.001972387,0.001972387,0,0.007889546,0.001972387,0.009861933,0.003944773
AIR CHINA CARGO,25,6,0.24,0,0,0,0,0,0,0,0,0,0
AIR CHINA INNER MONGOLIA,9,2,0.222222222,0,0,0,0,0,0,0,0,0,0
AIR CLASS,4,4,1,0,0,0,0,0,0,0,0,0,0
AIR CORPORATE,14,11,0.785714286,0,0,0,0,0,0,0,0,0,0
AIR CORSICA,13,3,0.230769231,0.030769231,0.307692308,0,0,0,0,0.076923077,0,0.076923077,0
AIR CREEBEC,21,4,0.19047619,0,0,0,0,0,0,0,0,0,0
AIR DO,13,3,0.230769231,0,0,0,0,0,0,0,0,0,0
AIR DOLOMITI,26,2,0.076923077,0,0,0,0,0,0,0,0,0,0
AIR DREAM COLLEGE,10,4,0.4,0,0,0,0,0,0,0,0,0,0
AIR EAGLE,1,1,1,0,0,0,0,0,0,0,0,0,0
AIR EUROPA,58,10,0.172413793,0.020689655,0.551724138,0,0.034482759,0,0,0,0.017241379,0.017241379,0.034482759
AIR EXCEL,1,1,1,0,0,0,0,0,0,0,0,0,0
AIR FALCON,1,1,1,0,0,0,0,0,0,0,0,0,0
AIR FLAMENCO,13,9,0.692307692,0,0,0,0,0,0,0,0,0,0
AIR FRANCE,279,17,0.0609319,0.005017921,0.333333333,0.003584229,0.003584229,0.003584229,0,0,0,0.003584229,0.007168459
AIR GREENLAND,23,6,0.260869565,0,0.043478261,0,0,0,0,0,0,0,0
AIR GUILIN,9,4,0.444444444,0,0,0,0,0,0,0,0,0,0
