airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,cluster
AIR CANADA,319,18.0,0.0564263322884012,0.005642633,0.3887147335423197,1
AIR CANADA ROUGE,37,4.0,0.1081081081081081,0.0,0.0,0
AIR CARAIBES,13,4.0,0.3076923076923077,0.061538462,0.5384615384615384,1
AIR CARE ALLIANCE,8,7.0,0.875,0.0,0.0,0
AIR CARGO CARRIERS,30,4.0,0.1333333333333333,0.0,0.0,0
AIR CENTRAL,15,10.0,0.6666666666666666,0.0,0.0,0
AIR CENTURY,7,3.0,0.4285714285714285,0.0,0.0,0
AIR CHANGAN,14,6.0,0.4285714285714285,0.0,0.0,0
AIR CHARTER SCOTLAND,10,7.0,0.7,0.0,0.0,0
AIR CHARTER SCOTLAND EUROPE,1,1.0,1.0,0.0,0.0,0
AIR CHARTERS EUROPE,4,3.0,0.75,0.0,0.0,0
AIR CHATHAMS,16,9.0,0.5625,0.0,0.0,0
AIR CHINA,507,25.0,0.04930966469428,0.005522682,0.3017751479289941,1
AIR CHINA CARGO,25,6.0,0.24,0.0,0.0,0
AIR CHINA INNER MONGOLIA,9,2.0,0.2222222222222222,0.0,0.0,0
AIR CLASS,4,4.0,1.0,0.0,0.0,0
AIR CORPORATE,14,11.0,0.7857142857142857,0.0,0.0,0
AIR CORSICA,13,3.0,0.2307692307692307,0.030769231,0.3076923076923077,1
AIR CREEBEC,21,4.0,0.1904761904761904,0.0,0.0,0
AIR DO,13,3.0,0.2307692307692307,0.0,0.0,0
AIR DOLOMITI,26,2.0,0.0769230769230769,0.0,0.0,0
AIR DREAM COLLEGE,10,4.0,0.4,0.0,0.0,0
AIR EAGLE,1,1.0,1.0,0.0,0.0,0
AIR EUROPA,58,10.0,0.1724137931034483,0.020689655,0.5517241379310345,1
AIR EXCEL,1,1.0,1.0,0.0,0.0,0
AIR FALCON,1,1.0,1.0,0.0,0.0,0
AIR FLAMENCO,13,9.0,0.6923076923076923,0.0,0.0,0
AIR FRANCE,279,17.0,0.060931899641577,0.005017921,0.3333333333333333,1
AIR GREENLAND,23,6.0,0.2608695652173913,0.0,0.0434782608695652,0
AIR GUILIN,9,4.0,0.4444444444444444,0.0,0.0,0
AIR HORIZONT,6,4.0,0.6666666666666666,0.0,0.0,0
AIR INCHEON,6,5.0,0.8333333333333334,0.0,0.0,0
AIR INDIA,191,12.0,0.06282722513089,0.008376963,0.7591623036649214,1
AIR INDIA EXPRESS,114,8.0,0.0701754385964912,0.007017544,0.5614035087719298,1
AIR INUIT,36,11.0,0.3055555555555556,0.0,0.0,0
AIR JAPAN,2,1.0,0.5,0.2,1.0,1
AIR KEY WEST,3,2.0,0.6666666666666666,0.0,0.0,0
AIR KIRIBATI,5,4.0,0.8,0.0,0.0,0
AIR KORYO,9,7.0,0.7777777777777778,0.0,0.0,0
AIR LIAISON,13,5.0,0.3846153846153846,0.0,0.0,0
AIR LIBYA,8,5.0,0.625,0.0,0.0,0
AIR LOYAUTE,5,2.0,0.4,0.0,0.0,0
AIR MACAU,22,4.0,0.1818181818181818,0.018181818,0.3636363636363636,1
AIR MANAS,1,1.0,1.0,0.6,1.0,1
AIR MAURITIUS,12,5.0,0.4166666666666667,0.033333333,0.5,1
AIR MEDITERRANEAN,2,1.0,0.5,0.0,0.0,0
AIR METHODS,23,10.0,0.4347826086956521,0.0,0.0,0
AIR MOANA,3,1.0,0.3333333333333333,0.0,0.0,0
AIR MONTENEGRO,3,2.0,0.6666666666666666,0.0,0.0,0
AIR MOUNTAIN,2,1.0,0.5,0.0,0.0,0
AIR NEW ZEALAND,113,8.0,0.0707964601769911,0.007079646,0.2920353982300885,1
AIR NIUGINI,29,10.0,0.3448275862068966,0.0,0.0,0
AIR NORTH,11,8.0,0.7272727272727273,0.0,0.0,0
AIR NUNAVUT,15,6.0,0.4,0.0,0.0,0
